epoch,avg_loss
1,0.004523157564428921
2,0.0006474666701163608
3,0.0004500097114186192
4,0.0003577026091251243
5,0.0003024240799151348
6,0.0002666063481959807
7,0.000241612215740222
8,0.0002229251940003424
9,0.00020758240947560706
10,0.00019493977392149393
11,0.00018395902186609924
12,0.00017476841744042446
13,0.0001667808227784392
14,0.00015986179937093803
15,0.00015378452460942113
16,0.0001484174114452603
17,0.00014355216887155313
18,0.00013945410933548276
19,0.00013569244304153328
20,0.00013209377695873632
21,0.00012878386055208875
22,0.0001258158645987303
23,0.00012322545912298353
24,0.00012063992834701408
25,0.00011812873005767202
26,0.00011587250453767305
27,0.00011362115942541344
28,0.00011186470466538026
29,0.00010996972914969115
30,0.00010817683498530684
31,0.00010644913789040383
32,0.00010484402962373386
33,0.00010335323492825254
34,0.00010183882959523146
35,0.00010057803914737456
36,9.92861167426391e-05
37,9.797632304138917e-05
38,9.67316898131952e-05
39,9.560063026698043e-05
40,9.445469954999257e-05
41,9.344076872399161e-05
42,9.239877834209744e-05
43,9.157447186430139e-05
44,9.049676475414786e-05
45,8.962402676253551e-05
46,8.885277843293744e-05
47,8.800750420184072e-05
48,8.728187415384395e-05
49,8.64630770022366e-05
50,8.579376372031607e-05
